month_url,title,days,reasons,description,image
June 2025,Here it comes.,14,"Online week: 2/6 - 5/6,
    BASF TechConnect Day: 6/6,
    CM #2 - 29/6","Back from two weeks of online classes — quiet, too quiet.<br>
    But now it's boots-on-ground, the final stretch before my internship.<br> 
    This is it: the month that decides whether I made it or break it.<br><br>

    Everyone's counting down to freedom. While I gaze upon my tasks, calories, unread emails, and nights without sleep.<br>
    Everything's fragile. Final (recursive) projects, last-minute submissions, more co-curricular activities, and the team that might let me do nothing or abandon me.<br>
    One cracked move, and it all spirals. But screw it — I've lived in spirals long enough to learn how to walk in them.<br><br>

    One more month, one more month.",2025/June/EbisuzawaFear.png
July 2025,Everything will be just fine.,4,"Study Leave: 30/6 - 6/7,
    Exam Weeks: 7/7 - 20/7,
    Trimester break W1: 21/7 - 27/7","With the trimester ending, the countdown to my inevitable internship ticks louder as time passes.<br>
    What will I do to prepare myself for my upcoming 3 months?",2025/July/Kanade.png
August 2025,Presoft.,22,Mold cleaning: 31/8,"Imagine working on Saturdays.<br>
    This is the life of a Presoft intern. 2 more months.",2025/August/Presoft.png
September 2025,Everything is not fine.,18,"Independence Day Replacement: 1/9,
    Prophet Muhammad's Birthday: 5/9,
    Anwar Day: 15/9,
    Malaysia Day: 16/9","Routine of a Presoft employee:<br>
    Wake up, drive to work, clock in, work, clock out, have lunch, clock in, continue work, clock out, suffer in jam, go home, sleep, and repeat.<br><br>

    Presoft continues its quiet indoctrination: polish the edges, fit the mold, adapt or fade.<br>
    But I'm still here. Still learning what it means to be an actual member of society, not just for university or ITP — but for someone else's stakes.<br>
    I see now — this isn't about brilliance. It's about showing up, again and again, without breaking.<br><br>

    The Saturdays still sting.<br>
    The pace still burns.<br>
    The jam still kills.<br>
    But I'm not flinching anymore.<br><br>

    Maybe that's what growth looks like — not louder, just steadier.<br>
    One more month.",2025/September/Amakusa.png
October 2025,Hold it in. 1 more month.,18,"Deepavali: 20/10,
    WFH: 28/10,
    Mini break post internship: 29/10 - 2/11","One final rush, hold it in, one more month. The final stretch at Presoft:<br>
    These corridors feel different now. Same walls, same faces, but I move through them differently.<br><br>

    These months of adaptation have left their mark — not just in scars, but in skills.<br>
    The indoctrination worked, I suppose. I've learned to fit without breaking, to bend without folding.<br>
    And maybe that's the real victory — becoming malleable without becoming someone else.<br><br>
    
    The traffic still stretches endlessly.<br>
    The deadlines still loom without mercy.<br>
    The exhaustion still weighs heavy.<br>
    But I've built something here that I'll carry forward.<br><br>

    As this chapter closes, I realize growth isn't about comfort — it's about capacity.<br>
    Not how much you enjoy the climb, but how much higher you can reach after.",2025/October/Yuki.png
November 2025,Fungal infection.,19,"Codenection 2025 Dry Run - 8/11,
    Codenection 2025 - 9/11","Fungal infection duties forced me to stay back to deal with landlord, featuring the end of Codenection 2025!<br>
    How will FYP and these 3 new subjects treat me? Find out this month!",2025/November/Fungal.png
December 2025,"KLEPPSTAD, treat me well.",16,"Sultan's Selangor Birthday: 11/12,
    Data Mining Midterms: 15/12,
    osu! Malaysia photoshoot: 21/12,
    Replacement class (physical??): 22/12,
    Home alone-ish: 23/12,
    Online days?: 24/12 - 26/12","The year's final month arrives like a weight I can't set down.<br>
    FYP deadlines loom like shadows, new subjects press against the walls of my attention, and the chaos refuses to pause with random groupmates.<br>
    Each day folds into the next, a tangle of code, readings, and chores, and I chase it all knowing that missing a single beat could ripple across everything, akin the Butterfly Effect.<br><br>

    The apartment smells faintly of Ikea and fungus, reminders that life continues while I sprint through a maze of tasks.<br>
    Nights stretch long and thin; sleep is a currency I spend reluctantly, only to find the next day demanding repayment with interest, or face shutting down.<br>
    Yet somehow, amid the fatigue, there's a quiet pulse of accomplishment — small victories stacked against a backdrop of relentless work.<br><br>

    This month is not about ease. It's about endurance, about finishing the year not in comfort but in motion.<br>
    If 2025 (and Presoft) taught me anything, it's that growth isn't measured in peace, but in persistence.<br>
    So I push forward, one task, one deadline, one exhausted breath at a time. Using up all the skills learnt thus far.<br>
    The end is near, but I'm still standing — still learning, still adapting, still becoming.",2025/December/KLEPPSTAD.png
January 2026,Final year arrives.,17,GDC AGM: 9/1,"This is my final year here.<br>
    Seven more months in Lakefront, ten more until the end.<br><br>

    January begins without mercy, continuing what December left off.<br>
    Assignments, projects, labs, tests, and FYP all demand attention — constantly, simultaneously, without breaks.<br>
    There's no clean reset, no 'new year new me', only continuation under pressure, new stacked upon old.<br><br>

    Hang in there. 297 (or 53) days left.",2026/January/Shana.png
February 2026,Project: Final year.,6,"Study Leave: 9/2 - 19/2,
    CDS6314 Project Presentation: 11/2,
    Exam Weeks: 20/2 - 8/3","O sword, pierce the moonlight that veils the night…<br>
      Three projects, three presentations, one test, one interim FYP — this is manageable, surely.<br>
      …The killing urge doth seize my flesh.",2026/February/Sakiko.png
March 2026,"Crossroads, split them apart.",2,"Exam Weeks: 20/2 - 8/3,
    Trimester Break: 9/3 - 29/3",Deserved break. Only to be unbroken.,2026/March/Mutsumi.png
April 2026,6 subjects. End it all.,16,"Week 1 has no tutorial: 2/4,
    FYP2 Meet (cancelled): 10/4,
    Wed 2 classes became blended: 15/4,
    Thurs tutorial became combined Sat: 16/4","Final graded trimester (supposedly). Semi RNG teammates.<br>
    Will my grades or performance end up RNG? Only one way to tell.<br><br>

    Update @ 1/4/2026 (evening): ok somehow it's the literal final trimester now.<br>
    And now I have to face some wrath of people.. This.. will be fine.",2026/April/Uika.png
May 2026,4 Assignments. 2 more months.,11,"Labour Day: 1/5 (I don't have classes anyways),
    Thurs tutorial became combined Sat: 7/5 (Jam wasn't too bad on the way back at almost 4pm),
    Thurs tutorial became combined Sat again: 14/5 (Even exiting at like 4 is still ok),
    Online Week (week 9): 25/5 - 29/5,
    Hari Raya Korban: 27/5","Org Behaviour? Quiz, 11/5 first thing in the morning. Solo assignment, 15/5.<br>
    Corpo Strat assignment physical group presentation, 18/5 immediately after lecture ends.<br>
    VIP solo assignment, 24/5.<br>
    Data Vis? Quiz & Lab, week 7. Group assignment, 24/5.<br>
    Integrity slowly creeping in, FYP2 in limbo of 'Should I do more? Can I stop yet? Transistion to report writing when?'<br><br>

    2 more months. 1 Lab. 2 Quizzes. 4 confirmed Assignments. 6 subjects.<br>
    Next up, 3 Tests, project releases, submissions, presentations.",2026/May/Mutsumi.png
June 2026,End state: Endgame,13,"Wesak Day Replacement: 1/6 or 2/6,
    YDPA Birthday: 1/6,
    Stay back for CDS6334 Test: 5/6,
    Thurs tutorial cancelled: 11/6,
    Awal Muharram: 17/6,
    Thurs tutorial cancelled: 18/6,
    Visual Image Processing no more class: 25/6+","Org Behaviour? Project, submission 21/6, presentation 22/6. Test, 15/6 night, coverage C5, C10, C11.<br>
    VIP? Test, 5/6 evening, coverage until Lecture 9. Quiz, during Week 13 Lecture. Project, proposal 7/6, submission 5/7.<br>
    Data Vis? Test, 3/6 night, immediately after return from break. Project, proposal 12/6, submission 5/7, presentation unknown. Final 2.5% class participation marks? Unknown.<br>
    Corpo Strat? Assignment 2 presentation, 3/6. Project, 22/6. Add some sprinkles of despair here.<br>
    FYP2? Need to finish up everything before the month ends. And presentation in real life for hours (like a salesman), tentatively early next month.<br>
    Integrity? Supposedly another quiz upcoming, along with the project in general. <!-- BR doesn't go here -->
    I should probably work on that, even though it is an MPU. <!-- BR doesn't go here -->
    I can't let people who chose me be let down by me.<br><br> 

    Survivability? I don't think so. But I've came so far, it would be a waste to throw it all away.<br>
    Once I survive the opening week that grants me 40 + 20 + 20% of my grade for 3 subjects, I think I should be able to catch a breather.",2026/June/Homura.png
July 2026,Goodbye.,6,"FYP2 Presentation: 8/7,
    Wardrobe shenenigans: 9/7,
    Exam Weeks: 10/7 - 26/7,
    Interview: 14/7,
    Trimester Break: 27/7 - 16/8","It is now the final month. 2 more projects... where is everyone? No really, not only I need to finish my own FYP2, but babysit them...??<br>
    Ah. Well. Sigh. It's not like I wanted to break up with the boys.<br><br>

    Once the first week is over, it will be FYP2 presentation.<br>
    Finally sending off the moldy wardrobe, having the place cleaned up, and awaiting a move out day as given by my contractual housemate.<br>
    In the meantime, interviews, oh, interviews that I putted off to focus on these shenenigans. A physical one at a somewhat big company at that.<br><br>

    If by God's grace the potential failures become passes, then I will finally be out of this hole.<br>
    If not... why even live.",2026/July/Sakiko.png
August 2026,Now we wait.,3,"Valiram Stage 1: 1/8,
    Interview (at a different location): 13/8,
    'Cultural fit' Interview: 19/8,
    Merdeka: 31/8","All that remains of here, is a waiting game of interviews, case studies, results, and etc.<br>
    This may serve as the final entry, but surely, I shall go on.<br><br>

    Update @ 14/8/2026: So I did pass. Even gotten my 'goal' of 3.5 CGPA.",2026/August/Sakiko.png
