date,dish_name,restaurant_name,price,description,image
18 August 2022 (Thursday),Spaghetti Bolognese,Komatra,RM7.00,"POS023195
          6:03 -> 6:09","2022/August/2022, August, image 19.png"
19 August 2022 (Friday),Nasi Campur,Komatra,RM6.50,"Back to normal prices after some days of ""cheaper"" chicken.
          POS023655
          12:10
          
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 20.png"
19 August 2022 (Friday),Bihun Goreng Biasa,Komatra,RM5.50,"POS023887
          6:09 -> 6:43","2022/August/2022, August, image 21.png"
22 August 2022 (Monday),Nasi Campur,Komatra,RM7.00,"This vege expensive (Sayur Campuran).
          The cheaper one is called (Sayur Bergoreng).
          POS024895
          1:04
          
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 2.00","2022/August/2022, August, image 22.png"
22 August 2022 (Monday),Mamee Express Cup Curry,No restaurant name,"""Free""","It was raining okay?
          Totally not because I'm broke.","2022/August/2022, August, image 23.png"
23 August 2022 (Tuesday),Nasi Campur,Komatra,RM6.50,"Didn't manage to snap the time of the receipt, so have the time I snapped the photo.
          Also, plastic forks suck vs chicken.
          POS025478
          12:35
          
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 24.png"
23 August 2022 (Tuesday),Nasi Goreng Cina,HTC,RM5.00,"Cherry popped to HTC.
          Insert the 3 monke meme: ""where receipt"".","2022/August/2022, August, image 25.png"
24 August 2022 (Wednesday),Nasi Campur,Komatra,RM6.50,"POS026147
          11:53
          
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 26.png"
24 August 2022 (Wednesday),Spaghetti Aglio Olio,Komatra,RM7.00,"Changed recipe? From prawns to Sausages.
          POS026429
          6:22 -> 6:59","2022/August/2022, August, image 27.png"
25 August 2022 (Thursday),Nasi Campur,Komatra,RM6.50,"POS026941
          1:18
          
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 28.png"
25 August 2022 (Thursday),Nasi Goreng Ikan Masin,Komatra,RM6.00,"POS027057
          6:06 -> 6:36","2022/August/2022, August, image 29.png"
26 August 2022 (Friday),Nasi Campur,Komatra,RM6.50,"POS027389
          12:10
          
Rice - RM 1.50
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 30.png"
29 August 2022 (Monday),Breakfast,Komatra,RM1.90,"Sambal: costs money
          MeL suprised pikachu face
          POS028527
          10:07
          
Maggi Goreng - RM 1.50
""Sambal Tumis - RM 0.40","2022/August/2022, August, image 31.png"
29 August 2022 (Monday),Nasi Campur,Komatra,RM6.50,"What's with the inconsistency of rice pricing???
          POS028636
          1:13
          
Extra Rice - RM 3.00
Chicken - RM 3.50
Vegetable - RM 1.50","2022/August/2022, August, image 32.png"
29 August 2022 (Monday),Cup Noodles + Canned curry chicken,No restaurant name,"""Free""","Rain: Exists
          Me: time to neet.
          
Presumably chicken cup noodles.
Yeo's Chicken Curry with Potatoes 280g","2022/August/2022, August, image 33.png"
30 August 2022 (Tuesday),Nasi Campur,Komatra,RM5.50,"POS029224
          1:10
          
Rice - RM 1.50
Chicken - RM 2.50
Vegetable - RM 1.50","2022/August/2022, August, image 34.png"
1 September 2022 (Thursday),Nasi Campur,Komatra,RM5.00,"We hit 30k POS!
              First time I didn't take any vege as there isn't any that I recognise, I think.
              POS030158
              1:11
              
Rice - RM 1.50
Chicken - RM 3.50","2022/September/2022, September, image 1.png"
1 September 2022 (Thursday),Nasi Goreng Biasa,Komatra,RM5.50,"POS030274
              6:10 -> 6:27","2022/September/2022, September, image 2.png"
2 September 2022 (Friday),Nasi Campur,Komatra,RM5.50,"Strangely they didn't charge me for the vege, but charged me for extra rice.
              POS030659
              12:33
              
Extra Rice - RM 2.00
Chicken - RM 3.50
Vegetable - Free?","2022/September/2022, September, image 3.png"
5 September 2022 (Monday),Breakfast,Komatra,RM2.50,"Didn't charge me for the sambal, good.
              POS031684
              10:06
              
Kuey Teow Goreng - RM 1.50
Telur Mata - Rm 1.00","2022/September/2022, September, image 4.png"
5 September 2022 (Monday),Nasi Campur,Komatra,RM6.50,"Me when I have no idea how they charge stuff anymore.
              Price be like: +0.50 for rice, -0.50 for vege
              POS031798
              1:13
          
Extra Rice - RM 2.00
Chicken - RM 3.50
Vegetable (Sayur Campuran) - RM 1.00","2022/September/2022, September, image 5.png"
5 September 2022 (Monday),Nasi Goreng Cina,Komatra,RM5.50,"POS031968
              7:06 -> 7:10","2022/September/2022, September, image 6.png"
6 September 2022 (Tuesday),Nasi Campur,Komatra,RM6.00,"40 cents for normal sambal, 50 cents for this. Naruhodo.
              POS032328
              12:41
              
Extra Rice - RM 2.00
Chicken - RM 3.50
Sambal belacan - RM 0.50","2022/September/2022, September, image 7.png"
6 September 2022 (Tuesday),Spaghetti Bolognese,Komatra,RM7.00,"Tons of minced meat -> 2 Meatballs + some minced meat.
              POS032516
              7:09 -> 7:19","2022/September/2022, September, image 8.png"
7 September 2022 (Wednesday),Nasi Campur,Komatra,RM6.00,"Cashier when they see rice: it's free real estate.
              POS032853
              12:41
              
Extra Rice - RM 2.50
Chicken - RM 3.50","2022/September/2022, September, image 9.png"
7 September 2022 (Wednesday),Nasi Goreng Seafood,Komatra,RM7.00,"The most expensive rice dish.
              POS033049
              5:59 -> 6:13","2022/September/2022, September, image 10.png"
8 September 2022 (Thursday),Nasi Campur,Komatra,RM7.00,"Ni mesti MMU. This is how my villian arc started. Rice with no bounds.
              POS033499
              1:13
              
Extra Rice - RM 2.00
Chicken - RM 3.50
Vegetable - RM 1.50","2022/September/2022, September, image 11.png"
8 September 2022 (Thursday),Nasi Goreng Cina + Telur Mata,Komatra,RM6.50,"This here starts the streak of me adding fried egg to almost every fried rice dish I'll be having.
              Also from now on I think I'll start calling it NGC + TM, shorter to type out.
              POS033640
              6:02 -> 6:10
              
Nasi Goreng Cina - RM 5.50
Telur Mata - RM 1.00","2022/September/2022, September, image 12.png"
9 September 2022 (Friday),Breakfast,Komatra,RM3.00,"Me when they don't charge money for sambal: ily
              POS033944
              9:10
              
Mee Goreng - RM 1.50
Kuey Teow Goreng - RM 1.50","2022/September/2022, September, image 13.png"
9 September 2022 (Friday),Nasi Ayam,Komatra,RM6.00,"""tuang terus atau asingkan?""
              For some reason I prefer it to be separated than directly poured.
              POS034017
              12:53","2022/September/2022, September, image 14.png"
12 September 2022 (Monday),Breakfast,Komatra,RM2.00,"E-bee becomes uncanny as the price raises by 50 cents.
              POS034840
              10:04 (estimate)
              
Kuey Teow Goreng - RM 2.00","2022/September/2022, September, image 15.png"
12 September 2022 (Monday),Nasi Campur,Komatra,RM7.00,"Inconsistency, inconsistency everywhere.
              POS034978
              12:53
          
Extra Rice - RM 2.50
Chicken - RM 3.50
Vegetable - RM 1.00","2022/September/2022, September, image 16.png"
12 September 2022 (Monday),Nasi Goreng Kampung,Komatra,RM5.50,"POS035108
              7:12 -> 7:14","2022/September/2022, September, image 17.png"
13 September 2022 (Tuesday),Nasi Campur,Komatra,RM7.00,"This picture looks like a mess.
              POS035494
              12:59
          
Extra Rice - RM 2.00
Chicken - RM 3.50
Vegetable - RM 1.50","2022/September/2022, September, image 18.png"
13 September 2022 (Tuesday),NGC + TM,Komatra,RM6.50,"POS035678
              7:07 -> 7:13
              
Nasi Goreng Cina - RM 5.50
Telur Mata - RM 1.00","2022/September/2022, September, image 19.png"
14 September 2022 (Wednesday),Nasi Ayam,Komatra,RM6.00,"No POS, not in image. I assume the staff want to keep the receipt.
              12:53","2022/September/2022, September, image 20.png"
14 September 2022 (Wednesday),Nasi Goreng Kampung + Telur Mata,Komatra,RM6.50,"From now on I think I'll start calling it NGK + TM, shorter to type out.
              POS036200
              6:11 -> 6:21
              
Nasi Goreng Kampung - RM 5.50
Telur Mata - RM 1.00","2022/September/2022, September, image 21.png"
15 September 2022 (Thursday),Nasi Ayam,Komatra,RM6.00,"There's a point in time where they keep receipts as ""proof of order"", to be safe from ""thieves"" who didn't pay yet order.
              12:53","2022/September/2022, September, image 22.png"
15 September 2022 (Thursday),Nasi Goreng Seafood,Komatra,RM7.00,"+1 prawn, -3 squid rings, - chicken.
              POS036794
              6:27 -> 6:42","2022/September/2022, September, image 23.png"
19 September 2022 (Monday),Nasi Ayam,Komatra,RM6.00,"Yup. I think it's this time.
              1:03","2022/September/2022, September, image 24.png"
19 September 2022 (Monday),Indomie x1 (Perisa Asli),No restaurant name,"""Free""","Probably raining again, mini cooker stonks.","2022/September/2022, September, image 25.png"
20 September 2022 (Tuesday),Nasi Ayam,Komatra,RM6.00,"There was once a point of time where I was a chicken rice fan.
              1:03","2022/September/2022, September, image 26.png"
20 September 2022 (Tuesday),NGK + TM,Komatra,RM6.50,"I do wonder what's the use of coriander/green onions.
              POS038431
              6:34 -> 6:38
              
Nasi Goreng Kampung - RM 5.50
Telur Mata - RM 1.00","2022/September/2022, September, image 27.png"
21 September 2022 (Wednesday),Indomie x2 (Perisa Asli),No restaurant name,"""Free""","Good thing it was lunch, so I could stuff myself before dinner.
              2 packets was a little too much, whereas 1 was too little.","2022/September/2022, September, image 28.png"
21 September 2022 (Wednesday),Nasi Goreng Cina + Telur Dadar,Komatra,RM6.50,"Omlette styled egg guarantees there's no leaky egg yolks.
              Also from now on I think I'll start calling it NGC + TD, shorter to type out.
              POS038925
              6:14 -> 6:17
              
Nasi Goreng Cina - RM 5.50
Telur Dadar - RM 1.00","2022/September/2022, September, image 29.png"
22 September 2022 (Thursday),Nasi Ayam,Komatra,RM6.00,"Oh hey I got back my receipt.
             POS039338
              12:58","2022/September/2022, September, image 30.png"
22 September 2022 (Thursday),NGK + TM,Komatra,RM6.50,"That egg looks more like an omlette than a fried one.
              POS039477
              6:08 -> 6:25
              
Nasi Goreng Kampung - RM 5.50
Telur Mata - RM 1.00","2022/September/2022, September, image 31.png"
23 September 2022 (Friday),Nasi Campur,Komatra,RM6.80,"Rice raised prices, from 1.50 -> 1.80.
              Quoting Bung Moktar: ini time. Pakiu!
              POS039781
              12:27
          
Rice - RM 1.80
Chicken - RM 3.50
Vegetable - RM 1.50","2022/September/2022, September, image 32.png"
26 September 2022 (Monday),BBQ Pork Rice,Rice Home Restaurant,RM9.90,"No roommate to foot the delivery fees?
              Good thing I have a free delivery voucher as a welcome gift.","2022/September/2022, September, image 33.png"
26 September 2022 (Monday),NGC + TD,Komatra,RM6.50,"Sometimes the egg is a little too oily.
              They also changed the cups from single use ones to plastic ones.
              Also we hit 40k POS.
              POS040883
              6:42 -> 6:46
              
Nasi Goreng Cina - RM 5.50
Telur Dadar - RM 1.00","2022/September/2022, September, image 34.png"
27 September 2022 (Tuesday),Nasi Campur,Komatra,RM7.50,"Extra rice raised prices, from 0.50 -> 0.70.
              Why can we never have good things to last.
              POS041342
              1:10
          
Rice - RM 1.80
Extra rice - RM 0.70
Chicken - RM 3.50
Vegetable - RM 1.50","2022/September/2022, September, image 35.png"
27 September 2022 (Tuesday),NGC + TM,Komatra,RM6.50,"POS041499
              6:45 -> 6:47
              
Nasi Goreng Cina - RM 5.50
Telur Mata - RM 1.00","2022/September/2022, September, image 36.png"
28 September 2022 (Wednesday),Nasi Campur,Komatra,RM7.50,"POS041832
              1:10
          
Rice - RM 1.80
Extra rice - RM 0.70
Chicken - RM 3.50
Vegetable - RM 1.50","2022/September/2022, September, image 37.png"
28 September 2022 (Wednesday),Dominoes,Domino's Cyberjaya Galleria,"""RM 4.00""","It went from 2 cars to 1 car worth of people going.
              
Grab - RM 4.00
Pizza fee - I remember I paid somehow, or was that only the grab?","2022/September/2022, September, image 38.png"
29 September 2022 (Thursday),Nasi Ayam,Komatra,RM6.00,"Weed number.
             POS042420
              12:30","2022/September/2022, September, image 39.png"
29 September 2022 (Thursday),Nasi Goreng Seafood,Komatra,RM7.00,"10 Squid rings, at least 3? chicken cubes, no prawns to be seen.
              POS042597
              6:35 -> 6:54","2022/September/2022, September, image 40.png"
30 September 2022 (Friday),Nasi Ayam,Komatra,RM6.00,"He is not overstreaming two twenty two beats per minute.
             POS042875
              12:22","2022/September/2022, September, image 41.png"
3 October 2022 (Monday),Nasi Campur,Komatra,RM7.50,"POS043940
              12:41
          
Rice - RM 1.80
Extra rice - RM 0.70
Chicken - RM 3.50
Vegetable - RM 1.50","2022/October/2022, October, image 1.png"
3 October 2022 (Monday),NGK + TM,Komatra,RM6.50,"Egg looking a little watery.
              POS044075
              6:28 -> 6:34
              
Nasi Goreng Kampung - RM 5.50
Telur Mata - RM 1.00","2022/October/2022, October, image 2.png"
4 October 2022 (Tuesday),Breakfast,Komatra,RM1.50,"UwU back to RM 1.50.
           POS044336
           9:52
           
Kuey Teow Goreng - RM 1.50","2022/October/2022, October, image 3.png"
2 November 2022 (Wednesday),Nasi Ayam,Komatra,RM6.00,"44336 -> 50191.
               POS050191
                12:06","2022/November/2022, November, image 1.png"
2 November 2022 (Wednesday),Nasi Goreng Ayam,Komatra,RM6.50,"Can I change the rice into another type of rice?
              POS050364
              6:05 -> 6:15","2022/November/2022, November, image 2.png"
3 November 2022 (Thursday),Nasi Ayam,Komatra,RM6.00,"Where receipt.
           Also first time ordering takeaway version.
            12:31","2022/November/2022, November, image 3.png"
3 November 2022 (Thursday),NGC + TD,Komatra,RM6.50,"Rice be like: cina
            POS050900
            6:02 -> 6:06
            
Nasi Goreng Cina - RM 5.50
Telur Dadar - RM 1.00","2022/November/2022, November, image 4.png"
4 November 2022 (Friday),Nasi Campur,Komatra,RM6.80,"POS051268
            12:07
        
Rice - RM 1.80
Chicken - RM 3.50
Vegetable - RM 1.50","2022/November/2022, November, image 5.png"
7 November 2022 (Monday),Breakfast,Komatra,RM3.00,"Back to back classes (10-12, 12-2): exists
            Me: proceeds to dine.
            No idea where receipt went.","2022/November/2022, November, image 6.png"
7 November 2022 (Monday),NGK + TM,Komatra,RM6.50,"Where vege?
            POS052444
            6:20 -> 6:30
            
Nasi Goreng Kampung - RM 5.50
Telur Mata - RM 1.00","2022/November/2022, November, image 7.png"
8 November 2022 (Tuesday),Breakfast,Komatra,RM3.00,"Out of biscuits, forced to buy breakfast.
            POS052753
            8:10","2022/November/2022, November, image 8.png"
8 November 2022 (Tuesday),Nasi Campur,Komatra,RM6.80,"POS052824
            12:07
        
Rice - RM 1.80
Chicken - RM 3.50
Vegetable - RM 1.50","2022/November/2022, November, image 9.png"
8 November 2022 (Tuesday),Roasted Pork Rice,Rice Home Restaurant,RM14.90,"Delivery driver: doesn't have change.
            Me: proceeds to electronic cash.
            
Roasted Pork Rice - RM 9.90
Delivery fee - RM 4.98 (where 2 cents)","2022/November/2022, November, image 10.png"
9 November 2022 (Wednesday),Nasi Campur,Komatra,RM7.30,"The egg is a scam.
            POS053417
            11:55
        
Rice - RM 1.80
Chicken - RM 3.50
Egg (Lauk Telur) - RM 2.00","2022/November/2022, November, image 11.png"
9 November 2022 (Wednesday),Maggi Goreng Biasa,HTC,RM4.50,"Was in the area for some Haji Tapah, might as well give it a second chance.
            5:50","2022/November/2022, November, image 12.png"
10 November 2022 (Thursday),Breakfast,Komatra,RM3.00,"Wait am I really out of biscuits?
            POS053906
            8:30","2022/November/2022, November, image 13.png"
10 November 2022 (Thursday),Breakfast,Komatra,RM3.00,"Business meeting.
            POS053925
            9:33 (ate at 12:08)","2022/November/2022, November, image 14.png"
10 November 2022 (Thursday),Keow Teow Goreng,HTC,RM4.50,#NAME?,"2022/November/2022, November, image 15.png"
11 November 2022 (Friday),Nasi Ayam,Komatra,RM6.00,"FFS forgot the receipt again.
            12:25","2022/November/2022, November, image 16.png"
14 November 2022 (Monday),Breakfast,Komatra,RM3.00,"Tfw guard asks me to put food outside then eat outside.
            POS055318
            9:23 (ate 11:29)","2022/November/2022, November, image 17.png"
14 November 2022 (Monday),Nasi Goreng Seafood,Komatra,RM7.00,"6 Squid rings, at least 2? chicken cubes, 1 prawn.
            POS055494
            6:25 -> 6:29","2022/November/2022, November, image 18.png"
15 November 2022 (Tuesday),Nasi Ayam,Komatra,RM6.00,"Is it the time where they keep receipts?
            12:18","2022/November/2022, November, image 19.png"
15 November 2022 (Tuesday),NGC + TM,Komatra,RM6.50,"POS055912
            6:10 -> 6:13
            
Nasi Goreng Cina - RM 5.50
Telur Mata - RM 1.00","2022/November/2022, November, image 20.png"
16 November 2022 (Wednesday),Nasi Ayam,Komatra,RM6.00,"At times some sauce goes into the rice.
            12:18","2022/November/2022, November, image 21.png"
22 November 2022 (Tuesday),Nasi Campur,Komatra,RM6.80,"POS056375
            12:01
        
Rice - RM 1.80
Chicken - RM 3.50
Vegetable - RM 1.50","2022/November/2022, November, image 22.png"
22 November 2022 (Tuesday),NGK + TD,Komatra,RM6.50,"That one garlic clove be like.
            POS056515
            6:21 -> 6:28
            
Nasi Goreng Kampung - RM 5.50
Telur Dadar - RM 1.00","2022/November/2022, November, image 23.png"
23 November 2022 (Wednesday),Nasi Campur,Komatra,RM6.80,"POS056749
            12:01
        
Rice - RM 1.80
Chicken - RM 3.50
Vegetable - RM 1.50","2022/November/2022, November, image 24.png"
23 November 2022 (Wednesday),Nasi Goreng Kampung,HTC,RM6.00,5:54,"2022/November/2022, November, image 25.png"
24 November 2022 (Thursday),Breakfast,Komatra,RM3.00,"POS057096
            10:20 (ate 12:00)","2022/November/2022, November, image 26.png"
24 November 2022 (Thursday),Chicken Quesadilla,Taco Bell,RM14.90,"Me & the gang goes with grab, then back with legs.
            6:36","2022/November/2022, November, image 27.png"
25 November 2022 (Friday),Nasi Ayam,Komatra,RM6.00,"Okay but seriously where did I put the receipt.
            12:28","2022/November/2022, November, image 28.png"
29 November 2022 (Tuesday),Nasi Campur,Komatra,RM7.50,"POS058090
            12:07
        
Rice - RM 1.80
Extra rice - RM 0.70
Chicken - RM 3.50
Vegetable - RM 1.50","2022/November/2022, November, image 29.png"
29 November 2022 (Tuesday),NGK + Rice,Komatra,RM6.50,"Fatbod.
            POS58254
            6:21 -> 6:26
            
Nasi Goreng Kampung - RM 5.50
R: Tambah Nasi - RM 1.00","2022/November/2022, November, image 30.png"
30 November 2022 (Wednesday),Nasi Campur,Komatra,RM5.30,"No vege?
            POS058504
            12:13
        
Rice - RM 1.80
Chicken - RM 3.50","2022/November/2022, November, image 31.png"
30 November 2022 (Wednesday),Maggi Goreng (Double),HTC,RM7.00,"Fatbod.
            5:54","2022/November/2022, November, image 32.png"
1 December 2022 (Thursday),Maggi Goreng + Telur Dadar,HTC,RM6.00,"11:53
                
Maggi Goreng - RM 4.50
Telur Dadar - RM 1.50","2022/December/2022, December, image 1.png"
1 December 2022 (Thursday),NGK + TM,Komatra,RM6.50,"The lone kangkung be like.
                    POS058992
                    6:18 -> 6:20
                    
Nasi Goreng Kampung - RM 5.50
Telur Mata - RM 1.00","2022/December/2022, December, image 2.png"
2 December 2022 (Friday),Nasi Ayam,Komatra,RM6.00,"Receipt has been found.
                POS059193
                12:01","2022/December/2022, December, image 3.png"
5 December 2022 (Monday),Breakfast,Komatra,RM3.50,"Price raised once again, +50 cents.
            POS059819
            9:28 (ate at 11:15)","2022/December/2022, December, image 4.png"
5 December 2022 (Monday),Nasi Lemak,Hirup Mee Kopitiam,RM2.00,"How often can you find cheap food?
            2:28","2022/December/2022, December, image 5.png"
5 December 2022 (Monday),NGK + TM,Komatra,RM7.00,"PRICE RAISE REEEE
            WE STILL HAVE NOT REACHED 60K POS HOW DARE YOU??
            POS059987
            6:19 -> 6:24
            
Nasi Goreng Kampung - RM 6.00
Telur Mata - RM 1.00","2022/December/2022, December, image 6.png"
6 December 2022 (Tuesday),Nasi Campur,Komatra,RM8.60,"Raise my sword
            Wallet became thousands of holes
            POS060250
            12:15
        
Rice - RM 1.80
Extra rice - RM 0.80
Chicken - RM 4.00
Vegetable - RM 2.00","2022/December/2022, December, image 7.png"
6 December 2022 (Tuesday),Nasi Goreng Kampung,Komatra,RM6.00,"So I guess everything raised by 50 cents.
            POS060394
            6:14 -> 6:28","2022/December/2022, December, image 8.png"
7 December 2022 (Wednesday),Nasi Ayam,Komatra,RM6.50,"Nothing is spared from inflation.
            Receipt.png not found.
            12:33","2022/December/2022, December, image 9.png"
7 December 2022 (Wednesday),Nasi Goreng Kampung,Komatra,RM6.00,"You should ki** yourself, NOW!
            POS060769
            6:40 -> 6:44","2022/December/2022, December, image 10.png"
8 December 2022 (Thursday),Ayam Buttermilk,Pak Ngah,RM9.00,"The pain will make me grow stronger, but not my wallet.
            11:41","2022/December/2022, December, image 11.png"
8 December 2022 (Thursday),NGK + TD,Komatra,RM7.00,"POS061146
            6:39-> 6:46
            
Nasi Goreng Kampung - RM 6.00
Telur Dadar - RM 1.00","2022/December/2022, December, image 12.png"
9 December 2022 (Friday),Nasi Campur,Komatra,RM8.60,"Now since I have kalmed, time to list the price increases.

Extra rice - + RM 0.10
Chicken - + RM 0.50
Vegetable - + RM 0.50

          POS061340
          12:34
        
Rice - RM 1.80
Extra rice - RM 0.80
Chicken - RM 4.00
Vegetable - RM 2.00","2022/December/2022, December, image 13.png"
13 December 2022 (Tuesday),Nasi Campur,Komatra,RM6.80,"I bless the typo king.
          POS062047
          12:19
        
Extra rice - RM 0.80
Chicken - RM 4.00
Vegetable - RM 2.00","2022/December/2022, December, image 14.png"
13 December 2022 (Tuesday),NGK + TM,Komatra,RM7.00,"Shily oil.
          POS062159
          6:41 -> 6:44
          
Nasi Goreng Kampung - RM 6.00
Telur Mata - RM 1.00","2022/December/2022, December, image 15.png"
14 December 2022 (Wednesday),Nasi Ayam,Komatra,RM6.50,"Receipt.png has been found.
          POS62329
          12:11","2022/December/2022, December, image 16.png"
14 December 2022 (Wednesday),NGK + TD,Komatra,RM7.00,"POS062459
          6:23-> 6:28
          
Nasi Goreng Kampung - RM 6.00
Telur Dadar - RM 1.00","2022/December/2022, December, image 17.png"
15 December 2022 (Thursday),Nasi Campur,Royal Tandoori,RM8.00,"No price list, so I'll gauge it based on my estimates.
          11:48
          Rice - RM 2.00
Chicken - RM 4.00
Vegetable - RM 2.00","2022/December/2022, December, image 18.png"
19 December 2022 (Monday),Maggi Goreng,Tuah Anas,RM5.00,11:19,"2022/December/2022, December, image 19.png"
19 December 2022 (Monday),NGK + Lebih Nasi,Komatra,RM6.00,"So this doesn't charge you extra?
          POS063597
          6:40 -> 6:46","2022/December/2022, December, image 20.png"
20 December 2022 (Tuesday),Nasi Goreng Kampung,Tuah Anas,RM6.00,"They have free stuff for me to ""self service"".
          Good, good.
          Also better than Komatra by some miles.
          11:57 -> 12:05","2022/December/2022, December, image 21.png"
3 January 2023 (Tuesday),Nasi Ayam,Komatra,RM6.50,"Point of sales is actually dying?
                    POS064567
                    12:02","2023/January/2023, January, image 1.png"
3 January 2023 (Tuesday),NGC + TD,Komatra,RM7.00,"Who in the right mind would put pepper sauce on cina?
                    Also they weren't serving NGK at that time, so sad.
                    POS064625
                    6:33 -> 6:40
                    
Nasi Goreng Cina - RM 6.00
Telur Dadar - RM 1.00","2023/January/2023, January, image 2.png"
4 January 2023 (Wednesday),Nasi Goreng Ikan Masin,Tuah Anas,RM6.00,"They somehow have a numbering system now.
                Let's see how well I will survive in a marathon:
                
1:00PM - 2:00PM (Math 2, online lecture)
2:00PM - 4:00PM (Math 1, physical tutorial)
4:00PM - 6:00PM (PSP, online tutorial replacement)
8:00PM - 10:00PM (PSP, online lecture replacement)

                11:52","2023/January/2023, January, image 3.png"
4 January 2023 (Wednesday),Nasi Goreng Ayam,HTC,RM8.00,"Rats, rats, we are the rats.
                I haven't seen any.
                5:42","2023/January/2023, January, image 4.png"
5 January 2023 (Thursday),Nasi Campur,HTC,RM8.00,"First time trying, if I were to refer to the menu for how they price, it's correct.
          Price wise, could rival Komatra.
          12:03
      
Rice - RM 2.00
Chicken - RM 5.00
Vegetable - RM 1.00","2023/January/2023, January, image 5.png"
5 January 2023 (Thursday),NGK + TD,Komatra,RM7.00,"UwU, 001. Also the omlette is a little salty if paired without rice.
          Another thing to mention, they only start serving this at 7pm?
          I went there during 6:30 they asked me to wait longer.
          POS065001
          6:59-> 7:03
          
Nasi Goreng Kampung - RM 6.00
Telur Dadar - RM 1.00","2023/January/2023, January, image 6.png"
6 January 2023 (Friday),Nasi Goreng Tomyam,Tuah Anas,RM8.00,"What the lemongrass doing here?
          Asked for fried garlic (bawang goreng), they gave me fried onion (also bawang goreng).
          So I used english, they said no, this is so sad, but at least I got mayonnaise that I dumped after.
          12:13 -> 12:24","2023/January/2023, January, image 7.png"
9 January 2023 (Monday),Roti Telur,HTC,RM2.50,"First time trying it.
          Apparently even this one they have it pre done, I thought it'll only be the Roti Canais.","2023/January/2023, January, image 8.png"
