month_url,title,price,description,image
November 2023,No title,RM 620.45,"Spent less than last month, mostly cuz of the arrival of Ryan.
         And of course the Deepavali break.

Purely food expenses - RM 264.75 
Breakfast - RM 0.00 
              (~RM 0 per meal)
Lunch - RM 136.10 
              (~RM 8.51 per meal)
Dinner - RM 128.65 
              (~RM 9.19 per meal)
Average cost per day - RM 15.58
Etc. Expenses - RM 2.44  
Cash Damage - RM 113.70
Rental - RM 300.00 
Electric bill(s) - RM 45.40  
Water bill - RM 7.86
Petrol - RM 55.51","2023/November/2023, November, image 40.png"
December 2023,No title,RM 696.93,"Suprisingly, almost on par with Nov 23, even without the wuting.
         Probably as I may have overspent on food, especially during the outing days.

Purely food expenses - RM 178.60 
Breakfast - RM 0.00 
Lunch - RM 88.05 
              (~RM 12.58 per meal)
Dinner - RM 90.55 
            (~RM 11.32 per meal)
Average cost per day - RM 22.33 
Etc. Expenses - RM 83.92 
            
(3 & 24) MRT Day Pass x2 - RM 10.00
(23) M10 TWS - RM 4.90
(31) Thean Hou Temple Fortune Telling - RM 1.00
(11) PTPTN Pin - RM 5.00
(13) O3C Wuting - RM 63.02


Cash Damage - RM 96.60
Rental - RM 300.00 
Electric bill(s) - RM 72.03  
Water bill - RM 9.43 
Petrol - RM 52.95","2023/December/2023, December, image 19.png"
January 2024,+23.64% more vs Dec 2023,RM 871.14,"Suprisingly surpassed the 20 mark.
         Life is pain.
         Being in MMU for all these weeks is also pain, savings who?
         Hopefully I can recoup my losses next month.
      
Purely food expenses - RM 442.60
Breakfast - RM 10.45
              (RM 1.50 per meal)
Lunch - RM 197.87 
              (~RM 8.99 per meal)
Dinner - RM 234.28 
            (~RM 11.16 per meal)
Average cost per day - RM 20.12
Etc. Expenses - RM 16.00 

(2) Summon - RM 10.00 
(3) ""Business"" - RM 162.30 
(27) Pipe - RM 6.00 


Cash Damage - RM 181.55
Rental - RM 300.00 
Electric bill(s) - RM 55.49  
Water bill - RM 9.43
Petrol - RM 47.62","2024/January/2024, January, image 47.png"
February 2024,No title,RM 703.84,"A nice month, with exams over, it is time for the semester break.
         Surely I deserve to splurge a little on myself right?
      
Purely food expenses - RM 110.90 
Breakfast - RM 0.00 
              (~RM 0.00 per meal)
Lunch - RM 51.00 
              (~RM 8.50 per meal)
Dinner - RM 59.90 
            (~RM 9.88 per meal) 
Average cost per day - RM 18.38 
Etc. Expenses - RM 224.35 

(29) 🅱️illow x2 - RM 224.35 

Cash Damage - RM 81.60 
Rental - RM 300.00 
Electric bill(s) - RM 63.17  
Water bill - RM 5.24
Petrol - RM 0.00","2024/February/2024, February, image 14.png"
March 2024,No title,RM 447.34,"Well, that was awkward.
         Didn't had a single meal.
         Oh well, better luck next month.
      
Purely food expenses - RM 0.00 
Breakfast - RM 0.00
Lunch - RM 0.00
Dinner - RM 0.00
Average cost per day - RM 0.00 
Etc. Expenses - RM 112.18 

(3) 🅱️elivery fees - RM 112.18

Cash Damage - RM 0.00 
Rental - RM 300.00 
Electric bill(s) - RM 35.16  
Water bill - RM 
Petrol - RM 0.00","2024/March/2024, March, image 1.png"
April 2024,No title,RM 493.06,"That's 1/3 of the year.

         Soon, midterms will attack.
      
Purely food expenses - RM 147.67 
Breakfast - RM 0.00 
              (~RM 0.00 per meal)
Lunch - RM 62.13 
              (~RM 6.90 per meal)
Dinner - RM 85.54 
              (~RM 10.44 per meal) 
Average cost per day - RM 16.41
Etc. Expenses - RM 5.00 

(17) 🅱️ina 🅱️lub Membership - RM 5.00 

Cash Damage - RM  
Rental - RM 300.00 
Electric bill(s) - RM 40.39  
Water bill - RM  
Petrol - RM 0.00","2024/April/2024, April, image 99.png"
May 2024,No title,RM 755.85,"Purely food expenses - RM 340.39 
Breakfast - RM 0.00
Lunch - RM 158.10 
              (~RM 8.32 per meal)
Dinner - RM 182.29 
            (~RM 10.57 per meal) 
Average cost per day - RM 18.76 
Etc. Expenses - RM  
Cash Damage - RM 181.00
Rental - RM 300.00 
Electric bill(s) - RM 107.08  
Water bill - RM 8.38
Petrol - RM 0.00","2024/May/2024, May, image 99.png"
June 2024,No title,RM 724.54,"Purely food expenses - RM 285.16 
Breakfast - RM 0.00
Lunch - RM 136.40 
              (~RM 8.02 per meal)
Dinner - RM 148.76 
            (~RM 9.92 per meal) 
Average cost per day - RM 17.82 
Etc. Expenses - RM  6.92

(26) Mr. DIY Stuff - Rm 6.92
 

Cash Damage - RM 
Rental - RM 300.00 
Electric bill(s) - RM 83.50  
Water bill - RM 0.00 
Petrol - RM 48.96","2024/June/2024, June, image 99.png"
July 2024,No title,RM 681.00,"Purely food expenses - RM 68.97 
Breakfast - RM 0.00
Lunch - RM 39.27 
              (~RM 9.82 per meal)
Dinner - RM 29.70 
            (~RM 9.90 per meal)
Average cost per day - RM 19.71
Etc. Expenses - RM 

(1) Toll x2 - RM 7.00  
(1) Plumber - RM 7.50  
(17) WiFi Relocation - RM 103.38 

Cash Damage - RM 
Rental - RM 350.00 
Electric bill(s) - RM 35.46  
Water bill - RM 18.88
(7) Mutiara - RM 5.88
(25) Lakefront - RM 13.00 
Petrol - RM 89.81 

(2) - 47.85
(23) - 41.96","2024/July/2024, July, image 99.png"
August 2024,No title,RM 646.15,"Oh yeah I'm changing to utilities tab instead of the 2, since I'm technically only paying to 1 person now in 1 go.
         Cash damage tab is also removed.
      
Purely food expenses - RM 190.71 
Breakfast - RM 0.00
Lunch - RM 96.00 
              (~RM 8.73 per meal) 
Dinner - RM 94.71 
            (~RM 7.89 per meal)
Average cost per day - RM 16.58 
Etc. Expenses - RM 0.00 
Rental - RM 350.00 
Utilities - RM 57.44  
Petrol - RM 48.00","2024/August/2024, August, image 99.png"
September 2024,No title,RM 622.91 / 695.53,"The month ends, but my responsibilities not.


Purely food expenses - RM 206.24 
Breakfast - RM 0.00 
Lunch - RM 133.40 
              (~RM 8.89 per meal)
Dinner - RM 72.84 
            (~RM 5.60 per meal) 
Average cost per day - RM 14.73  
Etc. Expenses - RM 1,972.62

(14) Earpads  - RM 51.94
(14) Parking - RM 10.00
(14) Honor 200 12/256 - RM 1799.00
(16)Shipping Fee - RM 10.68
(26) Trading Milk - RM 101.00

Rental - RM 350.00 
Utilities - RM 66.67  
Petrol - RM 0.00",2024/September/Chino.png
October 2024,No title,RM 392.32,"I spent the entire month gaming.
         More like gaming for slight chump change, then coding at the side.
         Ah well, prayge next month to be light on my wallet.
      
Purely food expenses - RM 0.00 
Breakfast - RM 0.00
Lunch - RM 0.00
Dinner - RM 0.00
Average cost per day - RM 0.00
Etc. Expenses - RM 0.00 
Rental - RM 350.00 
Utilities - RM 42.32  
Petrol - RM 0.00",2024/October/Yuno.png
November 2024,No title,RM 654.54,"Purely food expenses - RM 255.94 
Breakfast - RM 0.00
Lunch - RM 128.00 
              (~RM 8.53 per meal)
Dinner - RM 127.94 
            (~RM 8.00 per meal)
Average cost per day - RM 16.51 
Etc. Expenses - RM 0.00 
Rental - RM 350.00 
Utilities - RM 48.60  
Petrol - RM 0.00",2024/November/Taiga.png
December 2024,"A great month to be alive... Apart from the mishaps.
            And with that, the 2024 season comes to an end.",RM 990.62,"Dec 26:
         Quite some damage this month, from tyres to battery.
         Surely nothing will go bad in 2025... right?

         Afterthoughts, Jan 1:
         Started the month with what I thought to be an expensive day, only to top it out with a bang at the final day.
         Tried new things, like being part of the SEAMUN crew, attempted 2 Interviews, & the 1st hangout with my mates.
         Had my 2nd industrial visit as well, and also gotten to join the IT Society Committee.
      
Purely food expenses - RM 274.65 
Lunch - RM 123.00 
              (~RM 8.79 per meal)
Dinner - RM 151.65 
            (~RM 9.48 per meal)
Average cost per day - RM 18.31 
Etc. Expenses - RM 256.50 

(25) Laptop Battery Replacement - RM 250.00
(31) MRT Day Pass - RM 6.00
(31) Toilet - RM 0.50

Rental - RM 350.00 
Utilities - RM 57.19  
Petrol - RM 52.28",2024/December/Ebisuzawa2.png
January 2025,Breaking bad,RM 742.87,"27 Jan: ...somehow my lunch on average is more expensive now, but my dinner costs went down?

        Afterthoughts, Feb 1:
        Peak step record in 24 hours: 25328
        2 things broke, charger, and somehow some of my keys on the left area. Temporary fix would be using my old mini keyboard, but that itself is also occasionally broken.
        Truly, blue. Have this cat.

      
Purely food expenses - RM 267.73 
Breakfast - RM 0.10 
              (~RM 0.10 per meal)
Lunch - RM 159.60 
              (~RM 9.39 per meal)
Dinner - RM 108.03
            (~RM 7.20 per meal)
Average cost per day - RM 16.73
Etc. Expenses - RM 0.00  
Rental - RM 350.00 
Utilities - RM 74.56  
Petrol - RM 50.58",2025/January/Cat.png
February 2025,A nice number.,RM 555.00,"Afterthoughts, Mar 1:
         Well more things broke, both physically and my sanity as well thanks to that cursed finals.
         On the bright side, the end did come, for both the finals, and the trimester.
         Just hope my grades stay afloat...
      
Purely food expenses - RM 117.79 
Breakfast - RM 0.00 
Lunch - RM 54.59 
              (~RM 9.10 per meal)
Dinner - RM 63.20 
            (~RM 10.53 per meal)
Average cost per day - RM 19.63 
Etc. Expenses - RM 21.00  
Rental - RM 350.00 
Utilities - RM 53.81  
Petrol - RM 12.40",2025/February/Homu.png
March 2025,"""A Shut-In Neet""",RM 386.84,"Afterthoughts, Apr 1:
       Well, I survived the gullotine of education, and was rewarded for my efforts.
       No outings or anything this month, the outside world does not need me.
       Though skills wise, I did improve quite a bit thanks to Uni societies.

       3 more months, before society barges into my life. Not even the cage can save me.
      
Purely food expenses - RM 0.00 
Average cost per day - RM 0.00 
Etc. Expenses - RM 0.00 
Rental - RM 350.00 
Utilities - RM 36.84  
Petrol - RM 0.00",2025/March/Aqua.png
April 2025,The Calm Before the Burn,RM 774.72,"Afterthoughts, Apr 30:
        New things were done, new people were met, and a face I'd long wanted to see finally appeared.
        This month was packed, emotionally and physically — hit my PR at steps for one, and emptied myself thanks to a hangout.
        Choices danced between routine comfort and curiosity-led detours — staying in the comforts of my circle, or venturing out into the unknown.
        And all this, barely halfway into the trimester.

        Clubs site, Codenection, academic chaos, internship hunting — everything""s converging. Tasks keep stacking, and I’m still expected to triump it all.
        So be it. Let's see what my limits are.
         
         

Purely food expenses - RM 306.57 
Breakfast - RM 0.00 
Lunch - RM 167.00 
              (~RM 9.28 per meal)
Dinner - RM 139.57 
            (~RM 8.72 per meal)
Average cost per day - RM 18.03 
Etc. Expenses - RM 20.84 

(6) Dryer - RM 6.00
(14) 🅱️ina 🅱️lub Membership Renewal - 3.00
(26) MRT Daily Pass - 6.00
(26) MRT Parking - 4.50
(28) Bolt - 1.34

Rental - RM 350.00 
Utilities - RM 49.31  
Petrol - RM 48.00","2025/April/2025, April, image 36.png"
May 2025,"Life's uncertain, a rat-race of pain","RM 1,467.12","Afterthoughts, May 31:
        Life's uncertain, a rat-race of pain — the weight just keeps stacking up high.
        Game Jam wrapped and successful, but Hack Day looms. Club site lingers on top of me still, deadlines multiply, and the internship clock ticks louder with every passing second.
        Several j*b applications, just a few interviews, and radio silence in the end.
        Some days I ate alone, some days surrounded — sometimes NPC mode, sometimes present. I'm still figuring out which one I prefer.
        Everything's moving fast. I missed meetings, went into places I don't belong in, and TCD got cancelled. Small wins — like finally getting my upgrades — felt like minor triumphs, despite the impact it bought to my spendings. This is the highest it's ever been.

        It's all chaos. But I'm still standing. Somehow. All I got is to keep on praying.
      
Purely food expenses - RM 206.50  
Breakfast - RM 0.00 
Lunch - RM 110.70 
              (~RM 9.22 per meal)
Dinner - RM 95.80 
            (~RM 8.71 per meal)
Average cost per day - RM 17.96 
Etc. Expenses - RM 852.08 

(6) Fiio JT1 - 207.08
(14) Plumbing - 40.00
(18) MSI MAG-255XFV - 599.00
(30) LRT Day Pass - 6.00

Rental - RM 350.00 
Utilities - RM 58.54  
Petrol - RM 0.00",2025/May/Texas.png
June 2025,Trimester Ends with a Blast,RM 671.04,"Afterthoughts, Jun 30:
        Projects done, Assignments done, Internship secured, Tests done, with 2 more presentations left.
        With all that settled, a bit of fun is of necessity. Which I did with the second iteration of CM 2025.

        Places went, connections made. Memories made, with some worthy images.
        End of an era, as the trimester break starts, signalising my internship is starting in under a month.

        One month to revitalise myself with human communication skills, before I let everyone down.
      
Purely food expenses - RM 250.84 
Breakfast - RM 0.00
Lunch - RM 126.70 
              (~RM 9.05 per meal)
Dinner - RM 124.14 
            (~RM 12.41 per meal)
Average cost per day - RM 17.92 
Etc. Expenses - RM 12.00 

(6) MRT Day Pass - 6.00 
(29) MRT Day Pass - 6.00

Rental - RM 350.00 
Utilities - RM 58.20  
Petrol - RM 0.00",2025/June/Idia.png
July 2025,"Internship arc, begins.",RM 456.93,"Afterthoughts, Jul 31:
        Well, that break was well deserved to prepare me for this... internship.

        I'm barely 4 days in. I need to survive 75 more days.
        Good Lord. The jam, the hustle, the struggle, my missing signature cup...

        Make this the ""wake up call"" for me to focus hard to get a cushy job.
        I now understand why people work at lower end jobs despite having higher end qualifications.
      
Purely food expenses - RM 38.50 
Breakfast - RM 0.00
Lunch - RM 38.50 
              (~RM 9.62 per meal)
Dinner - RM 0.00
Average cost per day - RM 9.62
Etc. Expenses - RM 18.00 

(27) Thean Hou Gong - 2.00
(28) Day Parking - 4.00 
(29) Day Parking - 4.00 
(30) Day Parking - 4.00
(31) Day Parking - 4.00 

Rental - RM 350.00 
Utilities - RM 50.43  
Petrol - RM 0.00",2025/July/Amakusa.png
August 2025,One third survived.,RM 801.24,"Afterthoughts, Aug 31:
       That was, to say the least, an eye opener to how the real world works.

       Traffic jams, deadlines, things that do not work, unresponsive help channels, unrelated tasks, unreasonable expectations. 
       Also Saturday work, despite it being half day, it still sucks.
       Two more months, but after that it is back to the depths of University, with Final Year Project creeping into me.

       Just end me already.
      
Purely food expenses - RM 217.54 
Breakfast - RM 2.20
              (~RM 2.20 per meal)
Lunch - RM 215.34 
              (~RM 9.79 per meal)
Dinner - RM 0.00 
Average cost per day - RM 9.89
Etc. Expenses - RM 88.60 

(1) Monthly Parking - 80.00 
(17) 面包 rushiacry - 8.60 

Rental - RM 300.00  
Utilities - RM 47.46  
Petrol - RM 147.64",2025/August/Amakusa.png
September 2025,One third remains.,RM 760.89,"Afterthoughts, Sep 30:
        Survived yet another month, with 1 more month remaining. An intern left, another immediately replaces him. Such replaceable are interns.

        Quite some breaks, which thankfully eased my wallet a litte, though got hit with a slightly hard dent at 14, which kinda NULL-ed what I saved.
        Some tasks done, with more to be done, and even more to be received. My head bangs through the walls, like Satori with my bottle.

        Well, here comes the final stretch, the final push that see if all I've done is worth it, or it was for nothing.
        Good luck, is all I can say.
      
Purely food expenses - RM 170.10 
Breakfast - RM 0.00
Lunch - RM 170.10 
              (~RM 9.45 per meal)
Dinner - RM 0.00
Average cost per day - RM 9.45
Etc. Expenses - RM 130.00 

(Month long) Daily parking - 72.00 
(2) LRT Back & Forth - 4.20 
(6) Massimo Bred (not again) - 3.50
(14) Breakfast for family - 50.30 

Rental - RM 300.00  
Utilities - RM 29.47  
Petrol - RM 131.32",2025/September/Satori Komeiji.png
October 2025,Freedom.,RM 708.79,"Afterthoughts, Oct 30:
       You know those last days at work where all you want is to wrap up, hand in your card, and walk out feeling free?
       Yeah… mine didn't go like that. Instead, it turned into a two-day sequel called ""Unpaid Overtime & Unnecessary Stress: The Intern's Edition.""

       Hell on Earth I would say. Ain't no sane person would step foot in there ever again.
       1 mountain dumb got 1 mountain dumber and more retarded.
       Had to give them a taste of their own medicine in order for them to let me go by being a ""bad boy"".

       Glad that's over, back to being a student and start the Final Year Project, along with other subjects to balance.
      
Purely food expenses - RM 174.35 
Breakfast - RM RM 0.00
Lunch - RM 174.35 
              (~RM 9.69 per meal)
Dinner - RM 0.00
Average cost per day - RM 9.69
Etc. Expenses - RM 124.10 

(Month long) Daily parking - 64.00 
(6) Grab - 6.00
(6) LRT - 2.10
(7) Monthly pass - 50.00
(20) Thean Hou Gong - 2.00 

Rental - RM 300.00  
Utilities - RM 29.47  
Petrol - RM 80.87",2025/October/Freedom.png
November 2025,"Hard mode, 启动!",RM 757.46,"Afterthoughts, Dec 1: 
       To say the least, it was fine. For now, that is.
         
       From the frying pan of the internship into the fire of the new trimester.
       How I so much miss the ""freedom"" of student life (that comes with overall higher spendings in return).

       Landlord didn't come in the end, but did gave funds for a new wardrobe (the old one is still growing its empire).
       Codenection was to say the least, I didn't do too much in the grand scheme of things, and an infinite glitch of Nasi Lemak.
       Free food is the best food, even if it's the same (cold?) meal three times in a row.
       
       Culinary wise, it was mostly consistent, with new foods from time to time.
       The Prosperity Burger has returned, a greasy reminder that the year is ending.
       
       FYP looms, randoms in my group assignments, the fungal infection in my room may have stopped for now, but it will always return.
       One month left to salvage 2025. Let's prepare for 2026.
      
Purely food expenses - RM 292.11 
Breakfast - RM 0.00
Lunch - RM 139.20 
              (~RM 8.70 per meal)
Dinner - RM 152.91 
            (~RM 8.50 per meal)
Average cost per day - RM 16.23
Etc. Expenses - RM 8.10 

(2) Dryer - 6.00
(16) Toll - 2.10

Rental - RM 350.00 
Utilities - RM 54.24  
Petrol - RM 53.01",2025/November/Codenection.png
December 2025,"The Penultimate Year, ends.",RM 712.80,"Afterthoughts, Jan 1:
        December didn't arrive to be kind — it arrived to be endured, a closing chapter (for the year) that refused to slow down.

        Meals became markers of time rather than rest: eaten between deadlines, long walks, and late nights of code.
        Some were comforting, most were functional — fuel to keep moving when stopping wasn't an option.
        Inflation crept in quietly; stalls slipped in quality, portions fluctuated, and even food felt like it demanded negotiation.

        FYP pressure never truly left, even during supposed breaks.
        Across all subjects, new requirements kept stacking, leaving little room to breathe.
        Random groupmates performed decent enough to keep panic at bay — a small mercy in my opinion, thanks past me for choosing the right ones.
        Outside of work, things with my mates felt a little turbulent lately — subtle shifts in tone, distance I couldn't fully place.
        Still, I managed to meet some people during the picture day, despite the blazing weather and 19,619 steps. It was nice.
        Retired at the IT Society also, but still part of the GDC. Pressure builds as the chance to be director for some events presents itself to me.

        Yet, despite all the strain — nothing collapsed. At least, not me... yet.

        This month wasn't about enjoyment or balance — it was about not falling apart while everything pressed in at once.
        2025 ends not with relief, but with momentum. Momentum to keep going.
        I'm tired — uncertain about what lies ahead — but still standing.
        And that, somehow, is enough. For future me.
      
Purely food expenses - RM 226.00 
Breakfast - RM 0.00
Lunch - RM 113.40 
              (~RM 9.45 per meal)
Dinner - RM 112.60 
            (~RM 8.04 per meal)
Average cost per day - RM 14.12
Etc. Expenses - RM 17.50 

(9) Therapeutic Xenon - 10.00
(21) Bus - 1.00
(21) MRT Day Pass - 6.00 
(23) Parking - 0.50

Rental - RM 350.00 
Utilities - RM 58.65  
Petrol - RM 60.65",2025/December/Houshou Marine.png
